sku,product.attribute_set,sap_sku,vendor_sku,klikmro_sku,brand,brand_id,name,short_description,description,mfr_no,benefit,features,spesification,searching_related,standard_certificate,type,shipping_method,shipping_package,product.type,stock.is_in_stock,status,visibility,tax_class_id,stock.qty,consignment_stock,delivery,gross_weight,netto_weight,weight_uom,dimension_length,dimension_width,dimension_height,dimension_uom,dimension_unit,volume,category.ids,hierarchy_node,merchandise_category,vendor_id,warranty,sales_uom,pdt,lead_time,item,includes,for_use_with,material,size
A-75 (RS),I150091003,,A-75 (RS),,BANDO,BAND,RED SEAL BANDO 12.7MM A-75 (RS),RED SEAL BANDO 12.7MM A-75 (RS),RED SEAL BANDO A-75 (RS),A-75 (RS),"<li> V-shaped synthetic rubber
<li> Heat and oil resistant","<li> Applied for heavy loading machine
<li> Used in high temperature","<li> Material: Synthetic rubber
<li> Length: 75 INC
<li> Width: 12.7 MM
<li> Height: 8 MM
<li> Angle: 40 Deg.
<li> Min. pulley diameter: 75 MM","bando, v belt, pullet belt, belt, bando belt",-,Red Seal,"Pick Up, Air, Land, and Sea",1,simple,In Stock,Enabled,"Catalog, Search",Taxable Goods,1,No,M301,0.264,0.22,KG,20,20,10,CM,1905 X 12.7 X 8 MM,193.54,,I15009100301,8070206,1001002787,-,EA,2,3,V-belt,-,Pulley,Synthetic rubber,12.7 MM
A-76 (RS),I150091003,,A-76 (RS),,BANDO,BAND,RED SEAL BANDO 12.7MM A-76 (RS),RED SEAL BANDO 12.7MM A-76 (RS),RED SEAL BANDO A-76 (RS),A-76 (RS),"<li> V-shaped synthetic rubber
<li> Heat and oil resistant","<li> Applied for heavy loading machine
<li> Used in high temperature","<li> Material: Synthetic rubber
<li> Length: 76 INC
<li> Width: 12.7 MM
<li> Height: 8 MM
<li> Angle: 40 Deg.
<li> Min. pulley diameter: 75 MM","bando, v belt, pullet belt, belt, bando belt",-,Red Seal,"Pick Up, Air, Land, and Sea",1,simple,In Stock,Enabled,"Catalog, Search",Taxable Goods,1,No,M301,0.276,0.23,KG,20,20,10,CM,1930.4 X 12.7 X 8 MM,196.12,,I15009100301,8070206,1001002787,-,EA,2,3,V-belt,-,Pulley,Synthetic rubber,12.7 MM
A-83 (RS),I150091003,,A-83 (RS),,BANDO,BAND,RED SEAL BANDO 12.7MM A-83 (RS),RED SEAL BANDO 12.7MM A-83 (RS),RED SEAL BANDO A-83 (RS),A-83 (RS),"<li> V-shaped synthetic rubber
<li> Heat and oil resistant","<li> Applied for heavy loading machine
<li> Used in high temperature","<li> Material: Synthetic rubber
<li> Length: 83 INC
<li> Width: 12.7 MM
<li> Height: 8 MM
<li> Angle: 40 Deg.
<li> Min. pulley diameter: 75 MM","bando, v belt, pullet belt, belt, bando belt",-,Red Seal,"Pick Up, Air, Land, and Sea",1,simple,In Stock,Enabled,"Catalog, Search",Taxable Goods,1,No,M301,0.3,0.25,KG,20,20,10,CM,2108.2 X 12.7 X 8 MM,214.19,,I15009100301,8070206,1001002787,-,EA,2,3,V-belt,-,Pulley,Synthetic rubber,12.7 MM
A-85 (RS),I150091003,,A-85 (RS),,BANDO,BAND,RED SEAL BANDO 12.7MM A-85 (RS),RED SEAL BANDO 12.7MM A-85 (RS),RED SEAL BANDO A-85 (RS),A-85 (RS),"<li> V-shaped synthetic rubber
<li> Heat and oil resistant","<li> Applied for heavy loading machine
<li> Used in high temperature","<li> Material: Synthetic rubber
<li> Length: 85 INC
<li> Width: 12.7 MM
<li> Height: 8 MM
<li> Angle: 40 Deg.
<li> Min. pulley diameter: 75 MM","bando, v belt, pullet belt, belt, bando belt",-,Red Seal,"Pick Up, Air, Land, and Sea",1,simple,In Stock,Enabled,"Catalog, Search",Taxable Goods,1,No,M301,0.3,0.25,KG,20,20,10,CM,2159 X 12.7 X 8 MM,219.35,,I15009100301,8070206,1001002787,-,EA,2,3,V-belt,-,Pulley,Synthetic rubber,12.7 MM
A-88 (RS),I150091003,,A-88 (RS),,BANDO,BAND,RED SEAL BANDO 12.7MM A-88 (RS),RED SEAL BANDO 12.7MM A-88 (RS),RED SEAL BANDO A-88 (RS),A-88 (RS),"<li> V-shaped synthetic rubber
<li> Heat and oil resistant","<li> Applied for heavy loading machine
<li> Used in high temperature","<li> Material: Synthetic rubber
<li> Length: 88 INC
<li> Width: 12.7 MM
<li> Height: 8 MM
<li> Angle: 40 Deg.
<li> Min. pulley diameter: 75 MM","bando, v belt, pullet belt, belt, bando belt",-,Red Seal,"Pick Up, Air, Land, and Sea",1,simple,In Stock,Enabled,"Catalog, Search",Taxable Goods,1,No,M301,0.312,0.26,KG,20,20,10,CM,2235.2 X 12.7 X 8 MM,227.09,,I15009100301,8070206,1001002787,-,EA,2,3,V-belt,-,Pulley,Synthetic rubber,12.7 MM
A-90 (RS),I150091003,,A-90 (RS),,BANDO,BAND,RED SEAL BANDO 12.7MM A-90 (RS),RED SEAL BANDO 12.7MM A-90 (RS),RED SEAL BANDO A-90 (RS),A-90 (RS),"<li> V-shaped synthetic rubber
<li> Heat and oil resistant","<li> Applied for heavy loading machine
<li> Used in high temperature","<li> Material: Synthetic rubber
<li> Length: 90 INC
<li> Width: 12.7 MM
<li> Height: 8 MM
<li> Angle: 40 Deg.
<li> Min. pulley diameter: 75 MM","bando, v belt, pullet belt, belt, bando belt",-,Red Seal,"Pick Up, Air, Land, and Sea",1,simple,In Stock,Enabled,"Catalog, Search",Taxable Goods,1,No,M301,0.324,0.27,KG,20,20,10,CM,2286 X 12.7 X 8 MM,232.25,,I15009100301,8070206,1001002787,-,EA,2,3,V-belt,-,Pulley,Synthetic rubber,12.7 MM
A-92 (RS),I150091003,,A-92 (RS),,BANDO,BAND,RED SEAL BANDO 12.7MM A-92 (RS),RED SEAL BANDO 12.7MM A-92 (RS),RED SEAL BANDO A-92 (RS),A-92 (RS),"<li> V-shaped synthetic rubber
<li> Heat and oil resistant","<li> Applied for heavy loading machine
<li> Used in high temperature","<li> Material: Synthetic rubber
<li> Length: 92 INC
<li> Width: 12.7 MM
<li> Height: 8 MM
<li> Angle: 40 Deg.
<li> Min. pulley diameter: 75 MM","bando, v belt, pullet belt, belt, bando belt",-,Red Seal,"Pick Up, Air, Land, and Sea",1,simple,In Stock,Enabled,"Catalog, Search",Taxable Goods,1,No,M301,0.336,0.28,KG,20,20,10,CM,2336.8 X 12.7 X 8 MM,237.41,,I15009100301,8070206,1001002787,-,EA,2,3,V-belt,-,Pulley,Synthetic rubber,12.7 MM
A-93 (RS),I150091003,,A-93 (RS),,BANDO,BAND,RED SEAL BANDO 12.7MM A-93 (RS),RED SEAL BANDO 12.7MM A-93 (RS),RED SEAL BANDO A-93 (RS),A-93 (RS),"<li> V-shaped synthetic rubber
<li> Heat and oil resistant","<li> Applied for heavy loading machine
<li> Used in high temperature","<li> Material: Synthetic rubber
<li> Length: 93 INC
<li> Width: 12.7 MM
<li> Height: 8 MM
<li> Angle: 40 Deg.
<li> Min. pulley diameter: 75 MM","bando, v belt, pullet belt, belt, bando belt",-,Red Seal,"Pick Up, Air, Land, and Sea",1,simple,In Stock,Enabled,"Catalog, Search",Taxable Goods,1,No,M301,0.336,0.28,KG,20,20,10,CM,2362.2 X 12.7 X 8 MM,239.99,,I15009100301,8070206,1001002787,-,EA,2,3,V-belt,-,Pulley,Synthetic rubber,12.7 MM
B-102 (RS),I150091003,,B-102 (RS),,BANDO,BAND,RED SEAL BANDO 16.7MM B-102 (RS),RED SEAL BANDO 16.7MM B-102 (RS),RED SEAL BANDO B-102 (RS),B-102 (RS),"<li> V-shaped synthetic rubber
<li> Heat and oil resistant","<li> Applied for heavy loading machine
<li> Used in high temperature","<li> Material: Synthetic rubber
<li> Length: 102 INC
<li> Width: 16.7 MM
<li> Height: 10.3 MM
<li> Angle: 40 Deg.
<li> Min. pulley diameter: 125 MM","bando, v belt, pullet belt, belt, bando belt",-,Red Seal,"Pick Up, Air, Land, and Sea",1,simple,In Stock,Enabled,"Catalog, Search",Taxable Goods,1,No,M301,0.612,0.51,KG,20,20,10,CM,2590.8 X 16.7 X 10.3 MM,445.64,,I15009100301,8070206,1001002787,-,EA,2,3,V-belt,-,Pulley,Synthetic rubber,16.7 MM
B-106 (RS),I150091003,,B-106 (RS),,BANDO,BAND,RED SEAL BANDO 16.7MM B-106 (RS),RED SEAL BANDO 16.7MM B-106 (RS),RED SEAL BANDO B-106 (RS),B-106 (RS),"<li> V-shaped synthetic rubber
<li> Heat and oil resistant","<li> Applied for heavy loading machine
<li> Used in high temperature","<li> Material: Synthetic rubber
<li> Length: 106 INC
<li> Width: 16.7 MM
<li> Height: 10.3 MM
<li> Angle: 40 Deg.
<li> Min. pulley diameter: 125 MM","bando, v belt, pullet belt, belt, bando belt",-,Red Seal,"Pick Up, Air, Land, and Sea",1,simple,In Stock,Enabled,"Catalog, Search",Taxable Goods,1,No,M301,0.636,0.53,KG,20,20,10,CM,2692.4 X 16.7 X 10.3 MM,463.11,,I15009100301,8070206,1001002787,-,EA,2,3,V-belt,-,Pulley,Synthetic rubber,16.7 MM
B-107 (RS),I150091003,,B-107 (RS),,BANDO,BAND,RED SEAL BANDO 16.7MM B-107 (RS),RED SEAL BANDO 16.7MM B-107 (RS),RED SEAL BANDO B-107 (RS),B-107 (RS),"<li> V-shaped synthetic rubber
<li> Heat and oil resistant","<li> Applied for heavy loading machine
<li> Used in high temperature","<li> Material: Synthetic rubber
<li> Length: 107 INC
<li> Width: 16.7 MM
<li> Height: 10.3 MM
<li> Angle: 40 Deg.
<li> Min. pulley diameter: 125 MM","bando, v belt, pullet belt, belt, bando belt",-,Red Seal,"Pick Up, Air, Land, and Sea",1,simple,In Stock,Enabled,"Catalog, Search",Taxable Goods,1,No,M301,0.648,0.54,KG,20,20,10,CM,2717.8 X 16.7 X 10.3 MM,467.48,,I15009100301,8070206,1001002787,-,EA,2,3,V-belt,-,Pulley,Synthetic rubber,16.7 MM
B-110 (RS),I150091003,,B-110 (RS),,BANDO,BAND,RED SEAL BANDO 16.7MM B-110 (RS),RED SEAL BANDO 16.7MM B-110 (RS),RED SEAL BANDO B-110 (RS),B-110 (RS),"<li> V-shaped synthetic rubber
<li> Heat and oil resistant","<li> Applied for heavy loading machine
<li> Used in high temperature","<li> Material: Synthetic rubber
<li> Length: 110 INC
<li> Width: 16.7 MM
<li> Height: 10.3 MM
<li> Angle: 40 Deg.
<li> Min. pulley diameter: 125 MM","bando, v belt, pullet belt, belt, bando belt",-,Red Seal,"Pick Up, Air, Land, and Sea",1,simple,In Stock,Enabled,"Catalog, Search",Taxable Goods,1,No,M301,0.66,0.55,KG,20,20,10,CM,2794 X 16.7 X 10.3 MM,480.59,,I15009100301,8070206,1001002787,-,EA,2,3,V-belt,-,Pulley,Synthetic rubber,16.7 MM
B-112 (RS),I150091003,,B-112 (RS),,BANDO,BAND,RED SEAL BANDO 16.7MM B-112 (RS),RED SEAL BANDO 16.7MM B-112 (RS),RED SEAL BANDO B-112 (RS),B-112 (RS),"<li> V-shaped synthetic rubber
<li> Heat and oil resistant","<li> Applied for heavy loading machine
<li> Used in high temperature","<li> Material: Synthetic rubber
<li> Length: 112 INC
<li> Width: 16.7 MM
<li> Height: 10.3 MM
<li> Angle: 40 Deg.
<li> Min. pulley diameter: 125 MM","bando, v belt, pullet belt, belt, bando belt",-,Red Seal,"Pick Up, Air, Land, and Sea",1,simple,In Stock,Enabled,"Catalog, Search",Taxable Goods,1,No,M301,0.672,0.56,KG,20,20,10,CM,2844.8 X 16.7 X 10.3 MM,489.33,,I15009100301,8070206,1001002787,-,EA,2,3,V-belt,-,Pulley,Synthetic rubber,16.7 MM
B-116 (RS),I150091003,,B-116 (RS),,BANDO,BAND,RED SEAL BANDO 16.7MM B-116 (RS),RED SEAL BANDO 16.7MM B-116 (RS),RED SEAL BANDO B-116 (RS),B-116 (RS),"<li> V-shaped synthetic rubber
<li> Heat and oil resistant","<li> Applied for heavy loading machine
<li> Used in high temperature","<li> Material: Synthetic rubber
<li> Length: 116 INC
<li> Width: 16.7 MM
<li> Height: 10.3 MM
<li> Angle: 40 Deg.
<li> Min. pulley diameter: 125 MM","bando, v belt, pullet belt, belt, bando belt",-,Red Seal,"Pick Up, Air, Land, and Sea",1,simple,In Stock,Enabled,"Catalog, Search",Taxable Goods,1,No,M301,0.696,0.58,KG,20,20,10,CM,2946.4 X 16.7 X 10.3 MM,506.81,,I15009100301,8070206,1001002787,-,EA,2,3,V-belt,-,Pulley,Synthetic rubber,16.7 MM
B-117 (RS),I150091003,,B-117 (RS),,BANDO,BAND,RED SEAL BANDO 16.7MM B-117 (RS),RED SEAL BANDO 16.7MM B-117 (RS),RED SEAL BANDO B-117 (RS),B-117 (RS),"<li> V-shaped synthetic rubber
<li> Heat and oil resistant","<li> Applied for heavy loading machine
<li> Used in high temperature","<li> Material: Synthetic rubber
<li> Length: 117 INC
<li> Width: 16.7 MM
<li> Height: 10.3 MM
<li> Angle: 40 Deg.
<li> Min. pulley diameter: 125 MM","bando, v belt, pullet belt, belt, bando belt",-,Red Seal,"Pick Up, Air, Land, and Sea",1,simple,In Stock,Enabled,"Catalog, Search",Taxable Goods,1,No,M301,0.708,0.59,KG,20,20,10,CM,2971.8 X 16.7 X 10.3 MM,511.17,,I15009100301,8070206,1001002787,-,EA,2,3,V-belt,-,Pulley,Synthetic rubber,16.7 MM
B-118 (RS),I150091003,,B-118 (RS),,BANDO,BAND,RED SEAL BANDO 16.7MM B-118 (RS),RED SEAL BANDO 16.7MM B-118 (RS),RED SEAL BANDO B-118 (RS),B-118 (RS),"<li> V-shaped synthetic rubber
<li> Heat and oil resistant","<li> Applied for heavy loading machine
<li> Used in high temperature","<li> Material: Synthetic rubber
<li> Length: 118 INC
<li> Width: 16.7 MM
<li> Height: 10.3 MM
<li> Angle: 40 Deg.
<li> Min. pulley diameter: 125 MM","bando, v belt, pullet belt, belt, bando belt",-,Red Seal,"Pick Up, Air, Land, and Sea",1,simple,In Stock,Enabled,"Catalog, Search",Taxable Goods,1,No,M301,0.708,0.59,KG,20,20,10,CM,2997.2 X 16.7 X 10.3 MM,515.54,,I15009100301,8070206,1001002787,-,EA,2,3,V-belt,-,Pulley,Synthetic rubber,16.7 MM
B-121 (RS),I150091003,,B-121 (RS),,BANDO,BAND,RED SEAL BANDO 16.7MM B-121 (RS),RED SEAL BANDO 16.7MM B-121 (RS),RED SEAL BANDO B-121 (RS),B-121 (RS),"<li> V-shaped synthetic rubber
<li> Heat and oil resistant","<li> Applied for heavy loading machine
<li> Used in high temperature","<li> Material: Synthetic rubber
<li> Length: 121 INC
<li> Width: 16.7 MM
<li> Height: 10.3 MM
<li> Angle: 40 Deg.
<li> Min. pulley diameter: 125 MM","bando, v belt, pullet belt, belt, bando belt",-,Red Seal,"Pick Up, Air, Land, and Sea",1,simple,In Stock,Enabled,"Catalog, Search",Taxable Goods,1,No,M301,0.732,0.61,KG,20,20,10,CM,3073.4 X 16.7 X 10.3 MM,528.65,,I15009100301,8070206,1001002787,-,EA,2,3,V-belt,-,Pulley,Synthetic rubber,16.7 MM
B-122 (RS),I150091003,,B-122 (RS),,BANDO,BAND,RED SEAL BANDO 16.7MM B-122 (RS),RED SEAL BANDO 16.7MM B-122 (RS),RED SEAL BANDO B-122 (RS),B-122 (RS),"<li> V-shaped synthetic rubber
<li> Heat and oil resistant","<li> Applied for heavy loading machine
<li> Used in high temperature","<li> Material: Synthetic rubber
<li> Length: 122 INC
<li> Width: 16.7 MM
<li> Height: 10.3 MM
<li> Angle: 40 Deg.
<li> Min. pulley diameter: 125 MM","bando, v belt, pullet belt, belt, bando belt",-,Red Seal,"Pick Up, Air, Land, and Sea",1,simple,In Stock,Enabled,"Catalog, Search",Taxable Goods,1,No,M301,0.732,0.61,KG,20,20,10,CM,3098.8 X 16.7 X 10.3 MM,533.02,,I15009100301,8070206,1001002787,-,EA,2,3,V-belt,-,Pulley,Synthetic rubber,16.7 MM
B-123 (RS),I150091003,,B-123 (RS),,BANDO,BAND,RED SEAL BANDO 16.7MM B-123 (RS),RED SEAL BANDO 16.7MM B-123 (RS),RED SEAL BANDO B-123 (RS),B-123 (RS),"<li> V-shaped synthetic rubber
<li> Heat and oil resistant","<li> Applied for heavy loading machine
<li> Used in high temperature","<li> Material: Synthetic rubber
<li> Length: 123 INC
<li> Width: 16.7 MM
<li> Height: 10.3 MM
<li> Angle: 40 Deg.
<li> Min. pulley diameter: 125 MM","bando, v belt, pullet belt, belt, bando belt",-,Red Seal,"Pick Up, Air, Land, and Sea",1,simple,In Stock,Enabled,"Catalog, Search",Taxable Goods,1,No,M301,0.744,0.62,KG,20,20,10,CM,3124.2 X 16.7 X 10.3 MM,537.39,,I15009100301,8070206,1001002787,-,EA,2,3,V-belt,-,Pulley,Synthetic rubber,16.7 MM
B-124 (RS),I150091003,,B-124 (RS),,BANDO,BAND,RED SEAL BANDO 16.7MM B-124 (RS),RED SEAL BANDO 16.7MM B-124 (RS),RED SEAL BANDO B-124 (RS),B-124 (RS),"<li> V-shaped synthetic rubber
<li> Heat and oil resistant","<li> Applied for heavy loading machine
<li> Used in high temperature","<li> Material: Synthetic rubber
<li> Length: 124 INC
<li> Width: 16.7 MM
<li> Height: 10.3 MM
<li> Angle: 40 Deg.
<li> Min. pulley diameter: 125 MM","bando, v belt, pullet belt, belt, bando belt",-,Red Seal,"Pick Up, Air, Land, and Sea",1,simple,In Stock,Enabled,"Catalog, Search",Taxable Goods,1,No,M301,0.744,0.62,KG,20,20,10,CM,3149.6 X 16.7 X 10.3 MM,541.76,,I15009100301,8070206,1001002787,-,EA,2,3,V-belt,-,Pulley,Synthetic rubber,16.7 MM
B-126 (RS),I150091003,,B-126 (RS),,BANDO,BAND,RED SEAL BANDO 16.7MM B-126 (RS),RED SEAL BANDO 16.7MM B-126 (RS),RED SEAL BANDO B-126 (RS),B-126 (RS),"<li> V-shaped synthetic rubber
<li> Heat and oil resistant","<li> Applied for heavy loading machine
<li> Used in high temperature","<li> Material: Synthetic rubber
<li> Length: 126 INC
<li> Width: 16.7 MM
<li> Height: 10.3 MM
<li> Angle: 40 Deg.
<li> Min. pulley diameter: 125 MM","bando, v belt, pullet belt, belt, bando belt",-,Red Seal,"Pick Up, Air, Land, and Sea",1,simple,In Stock,Enabled,"Catalog, Search",Taxable Goods,1,No,M301,0.768,0.64,KG,20,20,10,CM,3200.4 X 16.7 X 10.3 MM,550.5,,I15009100301,8070206,1001002787,-,EA,2,3,V-belt,-,Pulley,Synthetic rubber,16.7 MM
