sku,brand,name,gross_weight,dimension_length,dimension_width,dimension_height,dimension_uom,volume
1001002835-1049844,BOSSARD,HEX HEAD SCREW M8x25 1049844,1.030,255,255,95,MM,6177.375
1001002835-1049860,BOSSARD,HEX HEAD SCREW M8x30 1049860,1.030,255,255,95,MM,6177.375
1001002835-1050184,BOSSARD,HEX HEAD SCREW M10x10 1050184,1.030,255,255,95,MM,6177.375
1001002835-1050214,BOSSARD,HEX HEAD SCREW M10x16 1050214,1.030,255,255,95,MM,6177.375
1001002835-1050222,BOSSARD,HEX HEAD SCREW M10x18 1050222,1.030,255,255,95,MM,6177.375
1001002835-1050230,BOSSARD,HEX HEAD SCREW M10x20 1050230,1.030,255,255,95,MM,6177.375
1001002835-1050249,BOSSARD,HEX HEAD SCREW M10x22 1050249,1.030,255,255,95,MM,6177.375
1001002835-1050257,BOSSARD,HEX HEAD SCREW M10x25 1050257,1.030,255,255,95,MM,6177.375
1001002835-3121545,BOSSARD,HEX HEAD SCREW M10x25 3121545,1.030,255,255,95,MM,6177.375
1001002835-1050265,BOSSARD,HEX HEAD SCREW M10x30 1050265,1.030,255,255,95,MM,6177.375
1001002835-1050273,BOSSARD,HEX HEAD SCREW M10x35 1050273,1.030,255,255,95,MM,6177.375
1001002835-1050281,BOSSARD,HEX HEAD SCREW M10x40 1050281,1.030,255,255,95,MM,6177.375
1001002835-1050303,BOSSARD,HEX HEAD SCREW M10x45 1050303,1.030,255,255,95,MM,6177.375
1001002835-1050311,BOSSARD,HEX HEAD SCREW M10x50 1050311,1.030,255,255,95,MM,6177.375
1001002835-1050648,BOSSARD,HEX HEAD SCREW M12x16 1050648,1.030,255,255,95,MM,6177.375
1001002835-1050656,BOSSARD,HEX HEAD SCREW M12x20 1050656,1.030,255,255,95,MM,6177.375
1001002835-1050672,BOSSARD,HEX HEAD SCREW M12x25 1050672,1.030,255,255,95,MM,6177.375
1001002835-1050680,BOSSARD,HEX HEAD SCREW M12x30 1050680,1.030,255,255,95,MM,6177.375
1001002835-1050699,BOSSARD,HEX HEAD SCREW M12x35 1050699,1.030,255,255,95,MM,6177.375
1001002835-3121599,BOSSARD,HEX HEAD SCREW M12x35 3121599,1.030,255,255,95,MM,6177.375
1001002835-1050702,BOSSARD,HEX HEAD SCREW M12x40 1050702,1.030,255,255,95,MM,6177.375
1001002835-1050710,BOSSARD,HEX HEAD SCREW M12x45 1050710,1.030,255,255,95,MM,6177.375
1001002835-1050729,BOSSARD,HEX HEAD SCREW M12x50 1050729,1.030,255,255,95,MM,6177.375
1001002835-1050761,BOSSARD,HEX HEAD SCREW M12x70 1050761,1.030,255,255,95,MM,6177.375
1001002835-1050788,BOSSARD,HEX HEAD SCREW M12x80 1050788,1.030,255,255,95,MM,6177.375
1001002835-1051040,BOSSARD,HEX HEAD SCREW M14x30 1051040,1.030,255,255,95,MM,6177.375
1001002835-1051253,BOSSARD,HEX HEAD SCREW M16x25 1051253,1.030,255,255,95,MM,6177.375
1001002835-1051261,BOSSARD,HEX HEAD SCREW M16x30 1051261,1.030,255,255,95,MM,6177.375
1001002835-1051296,BOSSARD,HEX HEAD SCREW M16x40 1051296,1.030,255,255,95,MM,6177.375
1001002835-1051318,BOSSARD,HEX HEAD SCREW M16x45 1051318,1.030,255,255,95,MM,6177.375
1001002835-1051326,BOSSARD,HEX HEAD SCREW M16x50 1051326,1.030,255,255,95,MM,6177.375
1001002835-1051342,BOSSARD,HEX HEAD SCREW M16x60 1051342,1.030,255,255,95,MM,6177.375
1001002835-1051369,BOSSARD,HEX HEAD SCREW M16x80 1051369,1.030,255,255,95,MM,6177.375
1001002835-1051385,BOSSARD,HEX HEAD SCREW M16x100 1051385,1.030,255,255,95,MM,6177.375
1001002835-1051601,BOSSARD,HEX HEAD SCREW M18x55 1051601,1.030,255,255,95,MM,6177.375
1001002835-1416111,BOSSARD,HEX HEAD SCREW M18x60 1416111,1.030,255,255,95,MM,6177.375
1001002835-1051717,BOSSARD,HEX HEAD SCREW M20x30 1051717,1.030,255,255,95,MM,6177.375
1001002835-1051733,BOSSARD,HEX HEAD SCREW M20x40 1051733,1.030,255,255,95,MM,6177.375
1001002835-1051768,BOSSARD,HEX HEAD SCREW M20x50 1051768,1.030,255,255,95,MM,6177.375
1001002835-1051776,BOSSARD,HEX HEAD SCREW M20x55 1051776,1.030,255,255,95,MM,6177.375
1001002835-5402655,BOSSARD,HEX HEAD SCREW M20x65 5402655,1.030,255,255,95,MM,6177.375
1001002835-1051814,BOSSARD,HEX HEAD SCREW M20x90 1051814,1.030,255,255,95,MM,6177.375
1001002835-1052012,BOSSARD,HEX HEAD SCREW M24x50 1052012,1.030,255,255,95,MM,6177.375
1001002835-1052047,BOSSARD,HEX HEAD SCREW M24x65 1052047,1.030,255,255,95,MM,6177.375
1001002835-1052187,BOSSARD,HEX HEAD SCREW M30x60 1052187,1.030,255,255,95,MM,6177.375
1001002835-1052209,BOSSARD,HEX HEAD SCREW M30x80 1052209,1.030,255,255,95,MM,6177.375
1001002835-1052543,BOSSARD,HEX HEAD SCREW M5x16 1052543,1.030,255,255,95,MM,6177.375
1001002835-1052608,BOSSARD,HEX HEAD SCREW M5x30 1052608,1.030,255,255,95,MM,6177.375
1001002835-1099353,BOSSARD,HEX HEAD SCREW M5x50 1099353,1.030,255,255,95,MM,6177.375
1001002835-1052667,BOSSARD,HEX HEAD SCREW M6x12 1052667,1.030,255,255,95,MM,6177.375
1001002835-1052705,BOSSARD,HEX HEAD SCREW M6x20 1052705,1.030,255,255,95,MM,6177.375
1001002835-1052748,BOSSARD,HEX HEAD SCREW M6x30 1052748,1.030,255,255,95,MM,6177.375
1001002835-1052756,BOSSARD,HEX HEAD SCREW M6x35 1052756,1.030,255,255,95,MM,6177.375
1001002835-1198793,BOSSARD,HEX HEAD SCREW M6x50 1198793,1.030,255,255,95,MM,6177.375
1001002835-1052853,BOSSARD,HEX HEAD SCREW M8x20 1052853,1.030,255,255,95,MM,6177.375
1001002835-3067707,BOSSARD,HEXALOBULAR SOCKET KEYS X6 3067707,1.030,255,255,95,MM,6177.375
1001002794-46-028-20,STANLEY,DIECAST COMBINATION SQUARE 46-028-20,1.610,1200,230,35,MM,9660
1001002814-NYZ ROUND 2x23,FEDERAL CABLE,CABLE NYZ ROUND 2X23,4.408,50000,23,23,MM,26450
1001002835-2094657,BOSSARD,HEXALOBULAR SOCKET KEYS X20 2094657,1.030,255,255,95,MM,6177.375
1001002835-1005308,BOSSARD,HEX SOC HEAD CAP SCREW M12x150 1005308 ,1.030,255,255,95,MM,6177.375
1001002835-1005936,BOSSARD,HEX SOC HEAD CAP SCREW M20x110 1005936 ,1.030,255,255,95,MM,6177.375
1001002835-3235379,BOSSARD,HEX SOC HEAD CAP SCREW M20x130 3235379 ,1.030,255,255,95,MM,6177.375
1001002835-1005960,BOSSARD,HEX SOC HEAD CAP SCREW M20x150 1005960 ,1.030,255,255,95,MM,6177.375
1001002835-1009729,BOSSARD,HEX SOC HEAD CAP SCREW M16x60 1009729 ,1.030,255,255,95,MM,6177.375
1001002835-3055486,BOSSARD,HEX SOC HEAD CAP SCREW M16x70 3055486 ,1.030,255,255,95,MM,6177.375
1001002835-3091494,BOSSARD,HEX SOC HEAD CAP SCREW M5x110 3091494 ,1.030,255,255,95,MM,6177.375
1001002835-1049038,BOSSARD,HEX HEAD SCREW M4x20 1049038,1.030,255,255,95,MM,6177.375
1001002835-1049313,BOSSARD,HEX HEAD SCREW M5x45 1049313,1.030,255,255,95,MM,6177.375
1001002835-1049887,BOSSARD,HEX HEAD SCREW M8x40 1049887,1.030,255,255,95,MM,6177.375
1001002835-1049976,BOSSARD,HEX HEAD SCREW M8x100 1049976,1.030,255,255,95,MM,6177.375
1001002835-1050397,BOSSARD,HEX HEAD SCREW M10x100 1050397,1.030,255,255,95,MM,6177.375
1001002835-1050400,BOSSARD,HEX HEAD SCREW M10x120 1050400,1.030,255,255,95,MM,6177.375
1001002835-3092500,BOSSARD,HEX HEAD SCREW M10x130 3092500,1.030,255,255,95,MM,6177.375
1001002835-1050818,BOSSARD,HEX HEAD SCREW M12x100 1050818,1.030,255,255,95,MM,6177.375
1001002835-3060617,BOSSARD,PHILLIPS SCREWDRIVER BIT 1/4 1 3060617,1.030,255,255,95,MM,6177.375
1001002796-IP-3F191,3M,AFT ACRYLIC FOAM TAPE 48X33000MM 5666,1.056,285,285,78,MM,6335.55
1001002835-1006096,BOSSARD,HEX SOC HEAD CAP SCREW M24x160 1006096 ,1.030,255,255,95,MM,6177.375
1001002835-1200283,BOSSARD,HEX SOC HEAD CAP SCREW M6x40 1200283 ,1.030,255,255,95,MM,6177.375
1001002835-1200305,BOSSARD,HEX SOC HEAD CAP SCREW M6x50 1200305 ,1.030,255,255,95,MM,6177.375
1001002835-1201794,BOSSARD,HEX SOC HEAD CAP SCREW M10x60 1201794 ,1.030,255,255,95,MM,6177.375
1001002835-1201948,BOSSARD,HEX SOC HEAD CAP SCREW M12x80 1201948 ,1.030,255,255,95,MM,6177.375
1001002835-1201956,BOSSARD,HEX SOC HEAD CAP SCREW M12x90 1201956 ,1.030,255,255,95,MM,6177.375
1001002835-1202057,BOSSARD,HEX SOC HEAD CAP SCREW M16x120 1202057 ,1.030,255,255,95,MM,6177.375
1001002835-1042173,BOSSARD,HEX HEAD SCREW M3x16 1042173,1.030,255,255,95,MM,6177.375
1001002798-TZE-FX611,BROTHER,TZE-FX611 FLEXIBLE BLACK ON YELLOW,1.042,250,250,100,MM,6250
1001002835-3060618,BOSSARD,PHILLIPS SCREWDRIVER BIT 1/4 2 3060618,1.030,255,255,95,MM,6177.375
1001002835-1042882,BOSSARD,HEX HEAD SCREW M6x25 1042882,1.030,255,255,95,MM,6177.375
1001002796-7100055601,3M,FOAM POLISHING PAD GLAZE-DARK 5996,2.169,294.16,210.34,210.34,MM,13014.49605
1001002794-77-176,STANLEY,DMW40 DIGITAL MEASURING WHEEL 77-176,3.158,546,259,134,MM,18949.476
1001002835-1043358,BOSSARD,HEX HEAD SCREW M8x25 1043358,1.030,255,255,95,MM,6177.375
1001002835-1043781,BOSSARD,HEX HEAD SCREW M10x20 1043781,1.030,255,255,95,MM,6177.375
1001002835-1044354,BOSSARD,HEX HEAD SCREW M12x35 1044354,1.030,255,255,95,MM,6177.375
1001002796-7000119980,3M,HOOK-IT WOOL COMPOUNDING PAD 9 INCH 5711,1.155,278.92,258.6,96.04,MM,6927.2415
1001002835-1009869,BOSSARD,HEX SOC HEAD CAP SCREW M16x65 1009869 ,1.030,255,255,95,MM,6177.375
1001002835-1047078,BOSSARD,HEX HEAD SCREW M24x65 1047078,1.030,255,255,95,MM,6177.375
1001002835-1047094,BOSSARD,HEX HEAD SCREW M24x75 1047094,1.030,255,255,95,MM,6177.375
1001002835-1420003,BOSSARD,screwed insert M6x12 1420003 ,1.030,255,255,95,MM,6177.375
1001002835-1386360,BOSSARD,press-in threaded insert M3x4 1386360 ,1.030,255,255,95,MM,6177.375
1001002835-1386743,BOSSARD,press-in threaded insert M3 1386743 ,1.030,255,255,95,MM,6177.375
1001002835-1090615,BOSSARD,hexagon jam nut B M3 1090615 ,1.030,255,255,95,MM,6177.375
1001002835-1090658,BOSSARD,hexagon jam nut B M5 1090658 ,1.030,255,255,95,MM,6177.375
1001002835-1090666,BOSSARD,hexagon jam nut B M6 1090666 ,1.030,255,255,95,MM,6177.375
1001002835-1090704,BOSSARD,hexagon jam nut B M12 1090704 ,1.030,255,255,95,MM,6177.375
1001002835-1090720,BOSSARD,hexagon jam nut B M16 1090720 ,1.030,255,255,95,MM,6177.375
1001002835-1141546,BOSSARD,hexagon jam nut B M12x1 1141546 ,1.030,255,255,95,MM,6177.375
1001002835-1088211,BOSSARD,hexagon nut M2 1088211 ,1.030,255,255,95,MM,6177.375
1001002835-2051257,BOSSARD,hexagon nut M5 2051257 ,1.030,255,255,95,MM,6177.375
1001002835-2051265,BOSSARD,hexagon nut M6 2051265 ,1.030,255,255,95,MM,6177.375
1001002835-2051303,BOSSARD,hexagon nut M10 2051303 ,1.030,255,255,95,MM,6177.375
1001002835-2051311,BOSSARD,hexagon nut M12 2051311 ,1.030,255,255,95,MM,6177.375
1001002835-1089064,BOSSARD,hexagon nut M8 1089064 ,1.030,255,255,95,MM,6177.375
1001002835-1089080,BOSSARD,hexagon nut M12 1089080 ,1.030,255,255,95,MM,6177.375
1001002835-1874667,BOSSARD,hexagon nut M3 1874667 ,1.030,255,255,95,MM,6177.375
1001002835-1874691,BOSSARD,hexagon nut M4 1874691 ,1.030,255,255,95,MM,6177.375
1001002835-1874713,BOSSARD,hexagon nut M5 1874713 ,1.030,255,255,95,MM,6177.375
1001002835-1874721,BOSSARD,hexagon nut M5 1874721 ,1.030,255,255,95,MM,6177.375
1001002835-1874748,BOSSARD,hexagon nut M6 1874748 ,1.030,255,255,95,MM,6177.375
1001002835-1874764,BOSSARD,hexagon nut M7 1874764 ,1.030,255,255,95,MM,6177.375
1001002835-1874772,BOSSARD,hexagon nut M8 1874772 ,1.030,255,255,95,MM,6177.375
1001002835-1089609,BOSSARD,hexagon nut M10 1089609 ,1.030,255,255,95,MM,6177.375
1001002835-1874799,BOSSARD,hexagon nut M12 1874799 ,1.030,255,255,95,MM,6177.375
1001002835-1874802,BOSSARD,hexagon nut M14 1874802 ,1.030,255,255,95,MM,6177.375
1001002835-1874810,BOSSARD,hexagon nut M16 1874810 ,1.030,255,255,95,MM,6177.375
1001002835-1874829,BOSSARD,hexagon nut M20 1874829 ,1.030,255,255,95,MM,6177.375
1001002835-1089757,BOSSARD,hexagon nut M5 1089757 ,1.030,255,255,95,MM,6177.375
1001002835-1089765,BOSSARD,hexagon nut M6 1089765 ,1.030,255,255,95,MM,6177.375
1001002835-1089773,BOSSARD,hexagon nut M8 1089773 ,1.030,255,255,95,MM,6177.375
1001002835-1089870,BOSSARD,hexagon nut M12 1089870 ,1.030,255,255,95,MM,6177.375
1001002835-1090097,BOSSARD,hexagon nut M24 1090097 ,1.030,255,255,95,MM,6177.375
1001002835-1090151,BOSSARD,hexagon nut M10 1090151 ,1.030,255,255,95,MM,6177.375
1001002835-1090194,BOSSARD,hexagon nut M20 1090194 ,1.030,255,255,95,MM,6177.375
1001002835-1092308,BOSSARD,hexagon nut M5 LH 1092308 ,1.030,255,255,95,MM,6177.375
1001002835-1092324,BOSSARD,hexagon nut M8 LH 1092324 ,1.030,255,255,95,MM,6177.375
1001002835-1092332,BOSSARD,hexagon nut M10 LH 1092332 ,1.030,255,255,95,MM,6177.375
1001002835-1093541,BOSSARD,hexagon nut 9.525 1093541 ,1.030,255,255,95,MM,6177.375
1001002835-1093568,BOSSARD,hexagon nut 11.1125 1093568 ,1.030,255,255,95,MM,6177.375
1001002835-1093576,BOSSARD,hexagon nut 12.7 1093576 ,1.030,255,255,95,MM,6177.375
1001002835-1093606,BOSSARD,hexagon nut 19.05 1093606 ,1.030,255,255,95,MM,6177.375
1001002835-1093819,BOSSARD,hexagon nut 7.9375 1093819 ,1.030,255,255,95,MM,6177.375
1001002835-1093843,BOSSARD,hexagon nut 12.7 1093843 ,1.030,255,255,95,MM,6177.375
1001002835-1093878,BOSSARD,hexagon nut 15.875 1093878 ,1.030,255,255,95,MM,6177.375
1001002835-1093894,BOSSARD,hexagon nut 22.225 1093894 ,1.030,255,255,95,MM,6177.375
1001002835-1094939,BOSSARD,prevailing torque type hexagon lock nut M5 1094939 ,1.030,255,255,95,MM,6177.375
1001002835-1444921,BOSSARD,prevailing torque type hexagon lock nut M6 1444921 ,1.030,255,255,95,MM,6177.375
1001002835-1055550,BOSSARD,prevailing torque type hexagon lock nut M8 1055550 ,1.030,255,255,95,MM,6177.375
1001002835-1055569,BOSSARD,prevailing torque type hexagon lock nut M10 1055569 ,1.030,255,255,95,MM,6177.375
1001002835-3092364,BOSSARD,prevailing torque type hexagon lock nut M5 3092364 ,1.030,255,255,95,MM,6177.375
1001002835-3092365,BOSSARD,prevailing torque type hexagon lock nut M6 3092365 ,1.030,255,255,95,MM,6177.375
1001002835-3092366,BOSSARD,prevailing torque type hexagon lock nut M8 3092366 ,1.030,255,255,95,MM,6177.375
1001002835-3092367,BOSSARD,prevailing torque type hexagon lock nut M10 3092367 ,1.030,255,255,95,MM,6177.375
1001002835-3092370,BOSSARD,prevailing torque type hexagon lock nut M16 3092370 ,1.030,255,255,95,MM,6177.375
1001002835-3092702,BOSSARD,prevailing torque type hexagon lock nut M20 3092702 ,1.030,255,255,95,MM,6177.375
1001002835-1095080,BOSSARD,prevailing torque type hexagon lock nut M8x1 1095080 ,1.030,255,255,95,MM,6177.375
1001002835-1095110,BOSSARD,prevailing torque type hexagon lock nut M16x1.5 1095110 ,1.030,255,255,95,MM,6177.375
1001002835-1807773,BOSSARD,prevailing torque type hexagon lock nut M6 1807773 ,1.030,255,255,95,MM,6177.375
1001002835-1807781,BOSSARD,prevailing torque type hexagon lock nut M8 1807781 ,1.030,255,255,95,MM,6177.375
1001002835-1807803,BOSSARD,prevailing torque type hexagon lock nut M12 1807803 ,1.030,255,255,95,MM,6177.375
1001002835-1807854,BOSSARD,prevailing torque type hexagon lock nut M20 1807854 ,1.030,255,255,95,MM,6177.375
1001002835-1095293,BOSSARD,prevailing torque type hexagon lock nut 0.5 1095293 ,1.030,255,255,95,MM,6177.375
1001002835-1095137,BOSSARD,prevailing torque type hexagon lock nut M6 1095137 ,1.030,255,255,95,MM,6177.375
1001002835-1095226,BOSSARD,prevailing torque type hexagon lock nut M20 1095226 ,1.030,255,255,95,MM,6177.375
1001002835-3056531,BOSSARD,prevailing torque type hexagon lock nut V M10 3056531 ,1.030,255,255,95,MM,6177.375
1001002835-1095641,BOSSARD,prevailing torque type hexagon lock nut V M10 1095641 ,1.030,255,255,95,MM,6177.375
1001002835-1095668,BOSSARD,prevailing torque type hexagon lock nut V M12 1095668 ,1.030,255,255,95,MM,6177.375
1001002835-1793527,BOSSARD,prevailing torque type hexagon flange lock nut M16 1793527 ,1.030,255,255,95,MM,6177.375
1001002835-1212036,BOSSARD,hexagon locking nut M8 1212036 ,1.030,255,255,95,MM,6177.375
1001002835-1138308,BOSSARD,hexagon nut M5 1138308 ,1.030,255,255,95,MM,6177.375
1001002835-1138332,BOSSARD,hexagon nut M10 1138332 ,1.030,255,255,95,MM,6177.375
1001002835-1001698,BOSSARD,hexagon self clinching nut M5x1.8 1001698 ,1.030,255,255,95,MM,6177.375
1001002835-1098543,BOSSARD,hexagon self clinching nut M16 1098543 ,1.030,255,255,95,MM,6177.375
1001002835-1092642,BOSSARD,square nut M6 1092642 ,1.030,255,255,95,MM,6177.375
1001002835-1092502,BOSSARD,square nut M4 1092502 ,1.030,255,255,95,MM,6177.375
1001002835-1416987,BOSSARD,PARALLEL PIN 2.5m6x6 1416987 ,1.030,255,255,95,MM,6177.375
1001002835-1417592,BOSSARD,PARALLEL PIN 6m6x35 1417592 ,1.030,255,255,95,MM,6177.375
1001002835-1298968,BOSSARD,PARALLEL PIN 1.5h8x10 1298968 ,1.030,255,255,95,MM,6177.375
1001002835-1299743,BOSSARD,PARALLEL PIN 3h8x45 1299743 ,1.030,255,255,95,MM,6177.375
1001002835-1299816,BOSSARD,PARALLEL PIN 4h8x12 1299816 ,1.030,255,255,95,MM,6177.375
1001002835-1300059,BOSSARD,PARALLEL PIN 5h8x12 1300059 ,1.030,255,255,95,MM,6177.375
1001002835-1303538,BOSSARD,PARALLEL PIN 2m6x12 1303538 ,1.030,255,255,95,MM,6177.375
1001002835-1303716,BOSSARD,PARALLEL PIN 2.5m6x16 1303716 ,1.030,255,255,95,MM,6177.375
1001002835-1303864,BOSSARD,PARALLEL PIN 3m6x6 1303864 ,1.030,255,255,95,MM,6177.375
1001002835-1303872,BOSSARD,PARALLEL PIN 3m6x8 1303872 ,1.030,255,255,95,MM,6177.375
1001002835-1303880,BOSSARD,PARALLEL PIN 3m6x10 1303880 ,1.030,255,255,95,MM,6177.375
1001002835-1304089,BOSSARD,PARALLEL PIN 4m6x8 1304089 ,1.030,255,255,95,MM,6177.375
1001002835-1304127,BOSSARD,PARALLEL PIN 4m6x16 1304127 ,1.030,255,255,95,MM,6177.375
1001002835-1304135,BOSSARD,PARALLEL PIN 4m6x18 1304135 ,1.030,255,255,95,MM,6177.375
1001002835-1304208,BOSSARD,PARALLEL PIN 4m6x30 1304208 ,1.030,255,255,95,MM,6177.375
1001002835-1304283,BOSSARD,PARALLEL PIN 5m6x10 1304283 ,1.030,255,255,95,MM,6177.375
1001002835-1304348,BOSSARD,PARALLEL PIN 5m6x20 1304348 ,1.030,255,255,95,MM,6177.375
1001002835-1304402,BOSSARD,PARALLEL PIN 5m6x32 1304402 ,1.030,255,255,95,MM,6177.375
1001002835-1304488,BOSSARD,PARALLEL PIN 5m6x60 1304488 ,1.030,255,255,95,MM,6177.375
1001002835-1304623,BOSSARD,PARALLEL PIN 6m6x34 1304623 ,1.030,255,255,95,MM,6177.375
1001002835-1304763,BOSSARD,PARALLEL PIN 8m6x18 1304763 ,1.030,255,255,95,MM,6177.375
1001002835-1305050,BOSSARD,PARALLEL PIN 10m6x24 1305050 ,1.030,255,255,95,MM,6177.375
1001002835-1305840,BOSSARD,PARALLEL PIN 1.5h6x5 1305840 ,1.030,255,255,95,MM,6177.375
1001002835-1305999,BOSSARD,PARALLEL PIN 2h6x6 1305999 ,1.030,255,255,95,MM,6177.375
1001002835-1306006,BOSSARD,PARALLEL PIN 2h6x8 1306006 ,1.030,255,255,95,MM,6177.375
1001002835-1306057,BOSSARD,PARALLEL PIN 2h6x20 1306057 ,1.030,255,255,95,MM,6177.375
1001002835-1306138,BOSSARD,PARALLEL PIN 2.5h6x6 1306138 ,1.030,255,255,95,MM,6177.375
1001002835-1306154,BOSSARD,PARALLEL PIN 2.5h6x10 1306154 ,1.030,255,255,95,MM,6177.375
1001002835-1306235,BOSSARD,PARALLEL PIN 3h6x6 1306235 ,1.030,255,255,95,MM,6177.375
1001002835-1306251,BOSSARD,PARALLEL PIN 3h6x10 1306251 ,1.030,255,255,95,MM,6177.375
1001002835-1306294,BOSSARD,PARALLEL PIN 3h6x16 1306294 ,1.030,255,255,95,MM,6177.375
1001002835-1306421,BOSSARD,PARALLEL PIN 4h6x6 1306421 ,1.030,255,255,95,MM,6177.375
1001002835-1306650,BOSSARD,PARALLEL PIN 5h6x12 1306650 ,1.030,255,255,95,MM,6177.375
1001002835-1306677,BOSSARD,PARALLEL PIN 5h6x16 1306677 ,1.030,255,255,95,MM,6177.375
1001002835-1306863,BOSSARD,PARALLEL PIN 6h6x16 1306863 ,1.030,255,255,95,MM,6177.375
1001002835-1306898,BOSSARD,PARALLEL PIN 6h6x20 1306898 ,1.030,255,255,95,MM,6177.375
1001002835-1306901,BOSSARD,PARALLEL PIN 6h6x22 1306901 ,1.030,255,255,95,MM,6177.375
1001002835-1306952,BOSSARD,PARALLEL PIN 6h6x30 1306952 ,1.030,255,255,95,MM,6177.375
1001002835-1307339,BOSSARD,PARALLEL PIN 10h6x30 1307339 ,1.030,255,255,95,MM,6177.375
1001002835-1307509,BOSSARD,PARALLEL PIN 12h6x24 1307509 ,1.030,255,255,95,MM,6177.375
1001002835-1307525,BOSSARD,PARALLEL PIN 12h6x28 1307525 ,1.030,255,255,95,MM,6177.375
1001002835-1307533,BOSSARD,PARALLEL PIN 12h6x30 1307533 ,1.030,255,255,95,MM,6177.375
1001002835-1431072,BOSSARD,PARALLEL PIN THREAD D 6m6x24 1431072 ,1.030,255,255,95,MM,6177.375
1001002835-1323237,BOSSARD,SPIRAL SPRING PIN 1.5x6 1323237 ,1.030,255,255,95,MM,6177.375
1001002835-1323245,BOSSARD,SPIRAL SPRING PIN 1.5x8 1323245 ,1.030,255,255,95,MM,6177.375
1001002835-1323334,BOSSARD,SPIRAL SPRING PIN 2x6 1323334 ,1.030,255,255,95,MM,6177.375
1001002835-1323938,BOSSARD,SPIRAL SPRING PIN 4x24 1323938 ,1.030,255,255,95,MM,6177.375
1001002835-1634062,BOSSARD,SPIRAL SPRING PIN 4x35 1634062 ,1.030,255,255,95,MM,6177.375
1001002835-1984411,BOSSARD,SPIRAL SPRING PIN 8x35 1984411 ,1.030,255,255,95,MM,6177.375
1001002835-1324780,BOSSARD,SPIRAL SPRING PIN 10x70 1324780 ,1.030,255,255,95,MM,6177.375
1001002835-1325493,BOSSARD,SPIRAL SPRING PIN 1.5x6 1325493 ,1.030,255,255,95,MM,6177.375
1001002835-1325566,BOSSARD,SPIRAL SPRING PIN 2x6 1325566 ,1.030,255,255,95,MM,6177.375
1001002835-1326570,BOSSARD,SLOTTED SPRING PIN 1.5x10 1326570 ,1.030,255,255,95,MM,6177.375
1001002835-1326929,BOSSARD,SLOTTED SPRING PIN 2.5x26 1326929 ,1.030,255,255,95,MM,6177.375
1001002835-1327003,BOSSARD,SLOTTED SPRING PIN 3x10 1327003 ,1.030,255,255,95,MM,6177.375
1001002835-1327062,BOSSARD,SLOTTED SPRING PIN 3x20 1327062 ,1.030,255,255,95,MM,6177.375
1001002835-1327437,BOSSARD,SLOTTED SPRING PIN 4x18 1327437 ,1.030,255,255,95,MM,6177.375
1001002835-1418580,BOSSARD,TAPER PIN A 3h10x30 1418580 ,1.030,255,255,95,MM,6177.375
1001002835-1286048,BOSSARD,SNAP RINGS FOR SHAFT A 4 1286048 ,1.030,255,255,95,MM,6177.375
1001002835-1000039,BOSSARD,HEX SOC HEAD CAP SCREW M3x8 1000039,1.030,255,255,95,MM,6177.375
1001002835-1301780,BOSSARD,HEX SOC HEAD CAP SCREW M3x18 1301780,1.030,255,255,95,MM,6177.375
1001002835-1003739,BOSSARD,HEX SOC HEAD CAP SCREW M3x4 1003739,1.030,255,255,95,MM,6177.375
1001002835-1003747,BOSSARD,HEX SOC HEAD CAP SCREW M3x5 1003747,1.030,255,255,95,MM,6177.375
1001002835-1003755,BOSSARD,HEX SOC HEAD CAP SCREW M3x6 1003755,1.030,255,255,95,MM,6177.375
1001002835-1003763,BOSSARD,HEX SOC HEAD CAP SCREW M3x8 1003763,1.030,255,255,95,MM,6177.375
1001002835-1003771,BOSSARD,HEX SOC HEAD CAP SCREW M3x10 1003771,1.030,255,255,95,MM,6177.375
1001002835-1003801,BOSSARD,HEX SOC HEAD CAP SCREW M3x14 1003801,1.030,255,255,95,MM,6177.375
1001002835-1004913,BOSSARD,HEX SOC HEAD CAP SCREW M10x50 1004913,1.030,255,255,95,MM,6177.375
1001002835-1005065,BOSSARD,HEX SOC HEAD CAP SCREW M12x16 1005065,1.030,255,255,95,MM,6177.375
1001002835-1005146,BOSSARD,HEX SOC HEAD CAP SCREW M12x40 1005146,1.030,255,255,95,MM,6177.375
1001002835-3054708,BOSSARD,HEX SOC HEAD CAP SCREW M12x60 3054708,1.030,255,255,95,MM,6177.375
1001002835-1009192,BOSSARD,HEX SOC HEAD CAP SCREW M12x120 1009192 ,1.030,255,255,95,MM,6177.375
1001002835-1009494,BOSSARD,HEX SOC HEAD CAP SCREW M14x70 1009494 ,1.030,255,255,95,MM,6177.375
1001002835-1009915,BOSSARD,HEX SOC HEAD CAP SCREW M16x100 1009915 ,1.030,255,255,95,MM,6177.375
1001002835-1011006,BOSSARD,HEX SOC HEAD CAP SCREW M27x120 1011006 ,1.030,255,255,95,MM,6177.375
1001002835-1044451,BOSSARD,HEX HEAD SCREW M12x100 1044451,1.030,255,255,95,MM,6177.375
1001002835-1421662,BOSSARD,SLOTTED CHEESE HEAD SCREW M1.2x3 1421662 ,1.030,255,255,95,MM,6177.375
1001002835-1421700,BOSSARD,SLOTTED CHEESE HEAD SCREW M1.4x4 1421700 ,1.030,255,255,95,MM,6177.375
